specification,smart_clean_description,row_count,raw_variants_collapsed,representative_raw,sample_project
L-108,"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit",15,1,"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit (Item L-108)",2017D013
P-610,Structural Portland Cement Concrete,15,1,Structural Portland Cement Concrete (Item P-610),2017D013
P-620,Markings,15,1,Markings (Item P-620),2023D003
P-620,Surface Prep - Existing Pavement,15,1,Surface Prep - Existing Pavement (Item P-620),2023D003
012200,Construction Survey,14,1,Construction Survey (Section 012200),2018D029
015713,Sediment Fence,14,1,Sediment Fence (Section 015713),2018D029
024113,Building Demolition,14,1,Building Demolition (Section 024113),2018D029
024113,Building Slab and Foundation Removal,14,1,Building Slab and Foundation Removal (Section 024113),2018D029
260500,Demolition of Existing Electrical Equipment on Work Site,14,1,Demolition of Existing Electrical Equipment on Work Site (Section 260500),2018D029
D-751,Trench Drain,14,1,Trench Drain (Item D-751),2018D029
P-101,Removal of Pipe and other Buried Structures,14,1,Removal of Pipe and other Buried Structures (Item P-101),2018D029
P-152,Separation Geotextile,14,1,Separation Geotextile (Item P-152),2018D029
P-620,Surface Preparation - New or Existing Pavement Surfaces,14,1,Surface Preparation - New or Existing Pavement Surfaces (Item P-620),2018D029
UNCLASSIFIED,Pavement Markings,14,1,Pavement Markings,2018D015
015713,Construction Access,13,1,Construction Access (Section 015713),2015D147
312300,Existing Catch Basin Adjustment to Grade,13,1,Existing Catch Basin Adjustment to Grade (Section 312300),2015D147
334100,Riprap,13,1,Riprap (Section 334100),2015D147
344300,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,13,1,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),2015D147
344300,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC",13,1,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",2015D147
344301,Adjust Existing In-Pavement Runway Edge Light,13,1,Adjust Existing In-Pavement Runway Edge Light (Section 344301),2015D147
344302,Sign E6-6,13,1,Sign E6-6 (Section 344302),2015D147
344302,Sign E6-9,13,1,Sign E6-9 (Section 344302),2015D147
344302,Sign G-3,13,1,Sign G-3 (Section 344302),2015D147
D-751,Catch Basin,13,1,Catch Basin (Item D-751),2015D147
L-108,Heat Shrink for 5kV L-823 Primary Connector,13,1,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),2015D147
L-108,No. 8 AWG 5kV Cable,13,1,No. 8 AWG 5kV Cable (Item L-108),2015D147
L-110,IMC in Existing AC,13,1,1-Inch IMC in Existing AC (Item L-110),2015D147
L-110,PVC Direct Buried,13,1,2-Inch PVC Direct Buried (Item L-110),2015D147
L-110,PVC in Existing AC,13,1,2-Inch PVC in Existing AC (Item L-110),2015D147
P-403,Hot Mix Asphalt (HMA) Pavement Base Course,13,1,Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403),2015D147
UNCLASSIFIED,Construction Survey,13,1,Construction Survey,2016D015
UNCLASSIFIED,"Mobilization, Cleanup, and Demobilization",13,1,"Mobilization, Cleanup, and Demobilization",2016D015
UNCLASSIFIED,Signage,13,1,Signage,2021D001
012200,Abandon Existing Structure,12,1,Abandon Existing Structure (Sections 012200 and 334100),2024D016
012200,Abandon and Plug Storm Pipe,12,1,Abandon and Plug Storm Pipe (Sections 012200 and 334100),2024D016
012200,Aggregate Base Course,12,1,Aggregate Base Course (Sections 012200 and 321123),2024D016
012200,Asphalt Concrete Pavement,12,1,Asphalt Concrete Pavement (Sections 012200 and 321200),2024D016
012200,Catch Basins/Inlets,12,1,Catch Basins/Inlets (Sections 012200 and 334100),2024D016
012200,Clearing and Grubbing,12,1,Clearing and Grubbing (Sections 012200 and 312000),2024D016
012200,Connection to Existing Drainage Structure,12,1,Connection to Existing Drainage Structure (Sections 012200 and 334100),2024D016
012200,Contaminated Soil Removal and Haul,12,1,Contaminated Soil Removal and Haul (Sections 012200 and 026100),2024D016
012200,"Embankment, Ditch",12,1,"Embankment, Ditch (Sections 012200 and 312000)",2024D016
012200,"Fill Material, Topsoil",12,1,"Fill Material, Topsoil (Sections 012200, 312000, and 329113)",2024D016
012200,General Demolition,12,1,General Demolition (Sections 012200 and 024113),2024D016
012200,Pavement Removal and Disposal,12,1,"Pavement Removal and Disposal, 6-inch Depth (Sections 012200 and 024113)",2024D016
012200,Portland Cement Concrete Pavement,12,1,Portland Cement Concrete Pavement (10-Inch Thick) (Sections 012200 and 321300),2024D016
012200,Repair Existing ARFF Cap,12,1,Repair Existing ARFF Cap (Sections 012200 and 312300),2024D016
012200,Seeding,12,1,Seeding (Sections 012200 and 329219),2024D016
012200,Site Preparation,12,1,Site Preparation (Sections 012200 and 320117),2024D016
012200,Temporary Erosion and Sediment Control Measures,12,1,Temporary Erosion and Sediment Control Measures (Sections 012200 and 015713),2024D016
012200,Trench Stabilization,12,1,Trench Stabilization (Sections 012200 and 312300),2024D016
012200,Unsuitable Excavation and Disposal,12,1,Unsuitable Excavation and Disposal (Sections 012200 and 312300),2024D016
260500,Electrical Equipment Rack - Panel Connected,12,1,Electrical Equipment Rack - Panel Connected (Section 260500),2023D003
344300,Install PF Cover Plate on Existing Light Base,12,1,Install PF Cover Plate on Existing Light Base (Section 344300),2015D142
347115,Bollard - Bolt Down,12,1,Bollard - Bolt Down (Section 347115),2023D003
D-751,Connect to Existing Catch Basin/Manhole,12,1,Connect to Existing Catch Basin/Manhole (Item D-751),2023D011
D-751,Underdrain Cleanout,12,1,Underdrain Cleanout (Item D-751),2023D011
L-108,"No. 6 AWG, Solid, Bare Counterpoise Wire, Installed in Trench, Above the Duct Bank or Conduit, Including Connections/Terminations",12,1,"No. 6 AWG, Solid, Bare Counterpoise Wire, Installed in Trench, Above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)",2023D011
L-110,PVC in Existing Structural AC,12,1,2-Inch PVC in Existing Structural AC (Item L-110),2023D011
P-101,Cold Milling 3-Inch Depth,12,1,Cold Milling 3-Inch Depth (Item P-101),2023D016
P-403,Asphalt Mixture Surface and Base,12,1,Asphalt Mixture Surface and Base (Item P-403),2018D027
P-620,Permanent Pavement Marking,12,1,Permanent Pavement Marking (Item P-620),2023D011
P-620,Runway Marking,12,1,Runway Marking (Item P-620),2015D142
P-620,Surface Prep - Marking Removal,12,1,Surface Prep - Marking Removal (Item P-620),2023D003
P-620,Surface Preparation - New Pavement Surfaces,12,1,Surface Preparation - New Pavement Surfaces (Item P-620),2018D027
P-620,Temporary Pavement Marking,12,1,Temporary Pavement Marking (Item P-620),2023D011
UNCLASSIFIED,0,12,1,0,2023D018
UNCLASSIFIED,Columbia Slough Outfall Structure,12,1,Columbia Slough Outfall Structure,2015D006
UNCLASSIFIED,Contaminated Soil Sediment Excavation and Disposal,12,1,Contaminated Soil Sediment Excavation and Disposal,2015D006
UNCLASSIFIED,Guard Rail Removal and Replacement,12,1,Guard Rail Removal and Replacement,2015D006
UNCLASSIFIED,Inlet (Type PB),12,1,Inlet (Type PB),2015D006
UNCLASSIFIED,Landscape Restoration,12,1,Landscape Restoration,2015D006
UNCLASSIFIED,McBride Slough Intake Structure,12,1,McBride Slough Intake Structure,2015D006
UNCLASSIFIED,Modified Concrete Curb and Gutter,12,1,Modified Concrete Curb and Gutter,2015D006
UNCLASSIFIED,Offsite Haul and Disposal,12,1,Offsite Haul and Disposal,2015D006
UNCLASSIFIED,Pipe Zone and Bedding Material,12,1,Pipe Zone and Bedding Material,2015D006
UNCLASSIFIED,Portland Cement Concrete Pavement,12,1,Portland Cement Concrete Pavement (9-Inch),2015D006
UNCLASSIFIED,Sewer Pipe,12,1,72-Inch Sewer Pipe,2015D006
UNCLASSIFIED,Shoring,12,1,Shoring,2015D006
UNCLASSIFIED,Sidewalk,12,1,Sidewalk,2015D006
UNCLASSIFIED,Stormwater Flow Through Pollution Reduction Facility,12,1,Stormwater Flow Through Pollution Reduction Facility,2015D006
UNCLASSIFIED,Subdrains,12,1,Subdrains,2015D006
UNCLASSIFIED,Trench Excavation and General Native Backfill,12,1,Trench Excavation and General Native Backfill,2015D006
UNCLASSIFIED,Trench Excavation and Select Backfill,12,1,Trench Excavation and Select Backfill,2015D006
UNCLASSIFIED,Trench Excavation and Select Native Backfill,12,1,Trench Excavation and Select Native Backfill,2015D006
344301,Adjust Existing Base Can to New Finish Elevation,11,1,Adjust Existing Base Can to New Finish Elevation (Section 344301),2022D028
P-209,Separation Geotextile,11,1,Separation Geotextile (Item P-209),2022D028
P-621,Grooving,11,1,Grooving (Item P-621),2022D028
UNCLASSIFIED,Traffic Control,10,1,Traffic Control,2021D001
015713,Trench Protection,9,1,Trench Protection (Section 015713),2017D013
024113,Remove Bollard - Embedded,9,1,Remove Bollard - Embedded (Section 024113),2023D003
312300,Existing Electrical Vault (H-20 Rated) Extension to Finish Grade,9,1,Existing Electrical Vault (H-20 Rated) Extension to Finish Grade (Section 312300),2017D013
312300,Modifications to Existing Pump Station A and Deicing Valve Vault,9,1,Modifications to Existing Pump Station A and Deicing Valve Vault (Section 312300),2017D013
312300,Sanitary Sewer Wet Well Removal,9,1,Sanitary Sewer Wet Well Removal (Section 312300),2017D013
344300,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",9,1,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",2017D013
344300,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC",9,1,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC (Section 344300)",2017D013
344300,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",9,1,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",2017D013
344300,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",9,1,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",2017D013
344300,Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC,9,1,Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC (Section 344300),2017D013
344300,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC",9,1,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC (Section 344300)",2017D013
344300,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer,9,1,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer (Section 344300),2017D013
344302,Sign A4-13,9,1,Sign A4-13 (Section 344302),2017D013
344302,Sign A4-6,9,1,Sign A4-6 (Section 344302),2017D013
344302,Sign A4-7,9,1,Sign A4-7 (Section 344302),2017D013
344302,Sign A4-9,9,1,Sign A4-9 (Section 344302),2017D013
344302,Sign A5-3,9,1,Sign A5-3 (Section 344302),2017D013
344302,Sign A5-4,9,1,Sign A5-4 (Section 344302),2017D013
344302,Sign V-2,9,1,Sign V-2 (Section 344302),2017D013
344302,Sign V-4,9,1,Sign V-4 (Section 344302),2017D013
344302,Sign V-5,9,1,Sign V-5 (Section 344302),2017D013
344302,Sign V-6,9,1,Sign V-6 (Section 344302),2017D013
D-705,Perforated Pipe,9,1,6-Inch Perforated Pipe (Item D-705),2017D013
L-110,1 1/2-Inch GRSC,9,1,1 1/2-Inch GRSC (Item L-110),2017D013
L-110,PVC,9,1,2-Inch PVC (Item L-110),2017D013
P-156,Installation and Removal of Silt Fence,9,1,Installation and Removal of Silt Fence (Item P-156),2017D013
P-403,HMA Base Course,9,1,HMA Base Course (Item P-403),2017D013
P-501,Portland Cement Concrete Pavement,9,1,Portland Cement Concrete Pavement (Item P-501),2017D013
P-604,Compression Joint Seals for Concrete Pavement,9,1,Compression Joint Seals for Concrete Pavement (Item P-604),2017D013
012200,Abandon Existing Monitoring Well,8,1,Abandon Existing Monitoring Well (Section 012200),2018D029
024113,Existing Landscape Removal,8,1,Existing Landscape Removal (Section 024113),2018D029
024113,Removal of Existing or Temporary Fence,8,1,Removal of Existing or Temporary Fence (Section 024113),2018D029
024113,Removal of Miscellaneous Site Structures,8,1,Removal of Miscellaneous Site Structures (Section 024113),2018D029
260500,Install Gate Valve and Lighting Controls,8,1,Install Gate Valve and Lighting Controls (Section 260500),2018D029
260500,Install Handholes for Power and Communications,8,1,Install Handholes for Power and Communications (Section 260500),2018D029
