specification,smart_clean_description,row_count,raw_variants_collapsed,representative_raw,sample_project
024113,Remove Electrical Chargers,3,1,Remove Electrical Chargers (Section 024113),2023D003
260500,Training,3,1,Training (Section 260500),2023D003
260526,Ground Rod for Counterpoise,3,1,Ground Rod for Counterpoise (Section 260526),2017D029
320117,Asphalt Concrete Surface Course,3,1,Asphalt Concrete Surface Course (Section 320117),2021D017
320117,Asphalt Pavement Removal,3,1,Asphalt Pavement Removal - 2-3 Inch Depth (Section 320117),2021D017
320118,Crack Repair,3,1,Crack Repair (Section 320118),2021D017
344300,Install CF 150-Watt,3,1,"Install CF 150-Watt, 6.6/6.6 Amp Isolation Transformer in Existing Base Can (Section 344300)",2017D029
344300,Install PF Cover Plate on Existing Base Can,3,1,Install PF Cover Plate on Existing Base Can (Section 344300),2017D029
344300,Install PF Cover Plate on Existing Base Can with PF Bolts,3,1,Install PF Cover Plate on Existing Base Can with PF Bolts (Section 344300),2021D017
344300,Install PF Dual Stop Bar Light on Existing Light Base,3,1,Install PF Dual Stop Bar Light on Existing Light Base (Section 344300),2017D029
344300,Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,3,1,Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base,3,1,Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base (Section 344300),2017D029
344300,Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base,3,1,Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Elevated Runway End Light with CF Transformer on Existing Light Base,3,1,Install PF Elevated Runway End Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base,3,1,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base,3,1,Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,3,1,Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base,3,1,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF In-Pavement Runway Guard Light on Existing Light Base,3,1,Install PF In-Pavement Runway Guard Light on Existing Light Base (Section 344300),2017D029
344300,Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base,3,1,Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base,3,1,Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF LED Elevated Runway Edge Light on Existing Base Can with PF Transformer,3,1,Install PF LED Elevated Runway Edge Light on Existing Base Can with PF Transformer (Section 344300),2021D017
344300,Install PF LED Elevated Runway End/Threshold Light on Existing Base Can with PF Transformer,3,1,Install PF LED Elevated Runway End/Threshold Light on Existing Base Can with PF Transformer (Section 344300),2021D017
344300,Install PF LED In-Pavement Runway Edge Light on Existing Base Can with PF Transformer,3,1,Install PF LED In-Pavement Runway Edge Light on Existing Base Can with PF Transformer (Section 344300),2021D017
344300,Install PF Microwave Sensor with CF Transformer in Existing Base Can,3,1,Install PF Microwave Sensor with CF Transformer in Existing Base Can (Section 344300),2017D029
344300,Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base,3,1,Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,3,1,Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Runway Centerline Light with CF Transformer on Existing Light Base,3,1,Install PF Runway Centerline Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Taxiway Centerline Light on Existing Light Base,3,1,Install PF Taxiway Centerline Light on Existing Light Base (Section 344300),2017D029
344300,Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base,3,1,Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base,3,1,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),2017D029
344300,Install PF Taxiway Edge Reflector,3,1,Install PF Taxiway Edge Reflector (Section 344300),2021D017
344302,Sign A1-1,3,1,Sign A1-1 (Section 344302),2021D017
344302,Sign A7-2,3,1,Sign A7-2 (Section 344302),2021D017
344302,Sign A8-1,3,1,Sign A8-1 (Section 344302),2021D017
344302,Sign A8-2,3,1,Sign A8-2 (Section 344302),2021D017
344302,Sign B1-1,3,1,Sign B1-1 (Section 344302),2021D017
344302,Sign B7-1,3,1,Sign B7-1 (Section 344302),2021D017
344302,Sign B8-1,3,1,Sign B8-1 (Section 344302),2021D017
344302,Sign UL-2,3,1,Sign UL-2 (Section 344302),2021D017
L-108,"#6 AWG, 5kV Cable",3,1,"#6 AWG, 5kV Cable (Item L-108)",2017D029
L-110,PVC in Existing ACP Shoulder,3,1,2-inch PVC in Existing ACP Shoulder (Item L-110),2017D029
P-620,Pavement Markings,3,1,Pavement Markings (Item P-620),2021D017
P-620,Temporary Pavement Markings,3,1,Temporary Pavement Markings (Item P-620),2021D017
P-626,Slurry Seal,3,1,Slurry Seal (Item P-626),2021D017
UNCLASSIFIED,Aggregate Removal and Disposal,3,1,Aggregate Removal and Disposal,2021D007
UNCLASSIFIED,Air Release Valve Assembly,3,1,2-Inch Air Release Valve Assembly,2021D001
UNCLASSIFIED,Airfield Fire Water Disconnection,3,1,Airfield Fire Water Disconnection,2021D001
UNCLASSIFIED,Asphalt Grinding Removal and Disposal,3,1,Asphalt Grinding Removal and Disposal,2020D009
UNCLASSIFIED,Asphalt Sawcut,3,1,Asphalt Sawcut,2020D009
UNCLASSIFIED,Barge and Access Equipment,3,1,Barge and Access Equipment,2021D025
UNCLASSIFIED,Bedding and Pipe Zone Material,3,1,Bedding and Pipe Zone Material,2021D001
UNCLASSIFIED,Blackout and Temporary Pavement Marking,3,1,Blackout and Temporary Pavement Marking,2020D009
UNCLASSIFIED,Bollards,3,1,Bollards,2020D009
UNCLASSIFIED,Building Removal and Backfill,3,1,Building Removal and Backfill,2021D007
UNCLASSIFIED,Butterfly Valve,3,1,16-Inch Butterfly Valve,2021D001
UNCLASSIFIED,Cast - In-Place Concrete Curb,3,1,Cast-In-Place Concrete Curb,2021D001
UNCLASSIFIED,Catch Basin,3,1,Catch Basin,2020D009
UNCLASSIFIED,Central Water Meter Vault and Manifold,3,1,Central Water Meter Vault and Manifold,2021D001
UNCLASSIFIED,Chain - Link Slatted Fence Fabric,3,1,6-Foot Chain-Link Slatted Fence Fabric,2020D009
UNCLASSIFIED,Concrete Pad Demolition and Repair,3,1,Concrete Pad Demolition and Repair,2021D025
UNCLASSIFIED,Concrete Removal and Backfill,3,1,Concrete Removal and Backfill,2021D007
UNCLASSIFIED,Concrete Sidewalk,3,1,Concrete Sidewalk,2021D001
UNCLASSIFIED,Concrete Winch House Removal and Backfill,3,1,Concrete Winch House Removal and Backfill,2021D007
UNCLASSIFIED,Connection to Existing Utility,3,1,Connection to Existing Utility,2020D009
UNCLASSIFIED,Containment,3,1,Containment,2021D025
UNCLASSIFIED,Crack Seal,3,1,Crack Seal,2021D001
UNCLASSIFIED,Curb Removal,3,1,Curb Removal,2020D009
UNCLASSIFIED,DR9 Pex Water Pipe,3,1,3-Inch DR9 Pex Water Pipe,2021D001
UNCLASSIFIED,Deck Crack Repair,3,1,Deck Crack Repair,2021D025
UNCLASSIFIED,Deck Delamination and Spall Repair,3,1,Deck Delamination and Spall Repair,2021D025
UNCLASSIFIED,Deck Delamination and Spall Repair with Anodes,3,1,Deck Delamination and Spall Repair with Anodes,2021D025
UNCLASSIFIED,Deck Surface Repair,3,1,Deck Surface Repair,2021D025
UNCLASSIFIED,Deck Surface Repair with Cathodic Protection,3,1,Deck Surface Repair with Cathodic Protection,2021D025
UNCLASSIFIED,Deck Topping Repair,3,1,Deck Topping Repair,2021D025
UNCLASSIFIED,Deck Topping Replacement,3,1,Deck Topping Replacement,2021D025
UNCLASSIFIED,"Demarcation Panel with Receptacles, Heater, and T-Stat",3,1,"Demarcation Panel with Receptacles, Heater, and T-Stat",2021D001
UNCLASSIFIED,Ditch Protection,3,1,Ditch Protection,2020D009
UNCLASSIFIED,Ductile Iron Sewer Pipe,3,1,12-Inch Ductile Iron Sewer Pipe,2020D009
UNCLASSIFIED,Electric Utility Meter Base - 200A Direct,3,1,Electric Utility Meter Base - 200A Direct,2021D001
UNCLASSIFIED,Electrical,3,1,Electrical,2020D009
UNCLASSIFIED,Electrical Bedding Material,3,1,Electrical Bedding Material,2020D009
UNCLASSIFIED,Electrical Demo (Existing ORANG),3,1,Electrical Demo (Existing ORANG),2021D001
UNCLASSIFIED,Embankment,3,1,Embankment,2020D009
UNCLASSIFIED,Encasement Over Existing Waterlin,3,1,Encasement Over Existing Waterlin,2020D009
UNCLASSIFIED,Fence Fabric Removal,3,1,Fence Fabric Removal,2020D009
UNCLASSIFIED,Fender Panel Rehabilitation,3,1,Fender Panel Rehabilitation,2021D025
UNCLASSIFIED,"Fill Material, Top Soil",3,1,"Fill Material, Top Soil",2021D007
UNCLASSIFIED,Fire Hydrant Assembly,3,1,Fire Hydrant Assembly,2021D001
UNCLASSIFIED,H-Frame Support,3,1,H-Frame Support,2021D001
UNCLASSIFIED,"HDPE Interduct (Comm) - 1 1/4""",3,1,"HDPE Interduct (Comm) - 1 1/4""",2021D001
UNCLASSIFIED,Hollow Core Deck Panel Replacement,3,1,Hollow Core Deck Panel Replacement,2021D025
UNCLASSIFIED,Irrigation Replacement,3,1,Irrigation Replacement,2021D001
UNCLASSIFIED,Joint Repair,3,1,Joint Repair,2021D025
UNCLASSIFIED,Joint Repair at Panel Step,3,1,Joint Repair at Panel Step,2021D025
UNCLASSIFIED,Landside Utility Disconnections,3,1,Landside Utility Disconnections,2021D001
UNCLASSIFIED,Lead Paint Chip Removal,3,1,Lead Paint Chip Removal,2021D007
UNCLASSIFIED,"Loose Riprap, Class 50",3,1,"Loose Riprap, Class 50",2021D007
UNCLASSIFIED,Manhole and Catch Basin Adjustment,3,1,Manhole and Catch Basin Adjustment,2021D001
UNCLASSIFIED,Metalizing Repairs,3,1,Metalizing Repairs,2021D025
UNCLASSIFIED,Metalizing System at Edge Beams,3,1,Metalizing System at Edge Beams,2021D025
UNCLASSIFIED,Metered Switchgear Installation,3,1,Metered Switchgear Installation,2021D001
UNCLASSIFIED,Mini - Power Zone,3,1,Mini-Power Zone (10 KVA),2021D001
UNCLASSIFIED,Miscellaneous Removals and Backfill,3,1,Miscellaneous Removals and Backfill,2021D007
UNCLASSIFIED,Monolithic Curb and Sidewalk,3,1,Monolithic Curb and Sidewalk,2020D009
UNCLASSIFIED,Mulch,3,1,Mulch,2021D001
UNCLASSIFIED,PVC Conduit (Comm),3,1,PVC Conduit (Comm) - 4 Inch,2021D001
UNCLASSIFIED,"Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R",3,1,"Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R",2021D001
UNCLASSIFIED,"Panelboard - 480Y/277V, 100A, 3-Phase, NEMA 3R",3,1,"Panelboard - 480Y/277V, 100A, 3-Phase, NEMA 3R",2021D001
UNCLASSIFIED,Pile Crack Repair,3,1,Pile Crack Repair,2021D025
UNCLASSIFIED,Pile Spall Repair,3,1,Pile Spall Repair,2021D025
UNCLASSIFIED,Project Traffic Control,3,1,Project Traffic Control,2020D009
UNCLASSIFIED,Reduced Pressure Backflow Assembly and Enclosure,3,1,4-Inch Reduced Pressure Backflow Assembly and Enclosure,2021D001
UNCLASSIFIED,Reduced Pressure Detector Assembly and Enclosure,3,1,16-Inch Reduced Pressure Detector Assembly and Enclosure,2021D001
UNCLASSIFIED,Reinforced Concrete Pad,3,1,Reinforced Concrete Pad,2021D001
UNCLASSIFIED,Remove and Reinstall 12-Inch Ductile Iron Pipe,3,1,Remove and Reinstall 12-Inch Ductile Iron Pipe,2020D009
UNCLASSIFIED,Remove and Replace Compression Seal,3,1,Remove and Replace Compression Seal,2021D025
UNCLASSIFIED,Remove and Replace Embedded Anodes,3,1,Remove and Replace Embedded Anodes,2021D025
UNCLASSIFIED,Septic Tank and Drain Field Removal,3,1,Septic Tank and Drain Field Removal,2021D007
UNCLASSIFIED,Sign UL-1 Section 344302),3,1,Sign UL-1 Section 344302),2021D017
UNCLASSIFIED,Soffit and Vertical Crack Repair,3,1,Soffit and Vertical Crack Repair,2021D025
UNCLASSIFIED,Soffit and Vertical Face Delamination and Spall Repair,3,1,Soffit and Vertical Face Delamination and Spall Repair,2021D025
UNCLASSIFIED,Soffit and Vertical Face Delamination and Spall Repair with Anodes,3,1,Soffit and Vertical Face Delamination and Spall Repair with Anodes,2021D025
UNCLASSIFIED,Standard 8-Inch Concrete Curb,3,1,Standard 8-Inch Concrete Curb,2020D009
UNCLASSIFIED,Surfacings Removal,3,1,Surfacings Removal,2021D001
UNCLASSIFIED,Sweeper Section,3,1,Sweeper Section (012200),2023D003
UNCLASSIFIED,Tree and Plant Protection,3,1,Tree and Plant Protection,2021D001
UNCLASSIFIED,Trench Excavation,3,1,Trench Excavation,2021D001
UNCLASSIFIED,Trenchless Installation,3,1,Trenchless Installation,2021D001
UNCLASSIFIED,Trestle Cross - Brace Rehabilitation,3,1,Trestle Cross-Brace Rehabilitation,2021D025
UNCLASSIFIED,"Utility Removal, Relocation, and Backfill",3,1,"Utility Removal, Relocation, and Backfill",2021D007
UNCLASSIFIED,Vault (Comm),3,1,Vault (Comm) - 444-LA,2021D001
UNCLASSIFIED,Vault (Comm) - 444-LA (Traffic Rated),3,1,Vault (Comm) - 444-LA (Traffic Rated),2021D001
UNCLASSIFIED,Vault (Power),3,1,Vault (Power) - 575-PCORP,2021D001
UNCLASSIFIED,Vault (Power) - 575-TRANS - PCORP,3,1,Vault (Power) - 575-TRANS-PCORP,2021D001
UNCLASSIFIED,Vault (Power) - 712-SWITCH - PCORP,3,1,Vault (Power) - 712-SWITCH-PCORP,2021D001
UNCLASSIFIED,Vault (Power) - 776-TRANS - PCORP,3,1,Vault (Power) - 776-TRANS-PCORP,2021D001
UNCLASSIFIED,Vault (Power) - 776-TRANS - PCORP (Traffic Rated),3,1,Vault (Power) - 776-TRANS-PCORP (Traffic Rated),2021D001
UNCLASSIFIED,Water Meter,3,1,2-Inch Water Meter,2021D001
UNCLASSIFIED,Water Well Decommission,3,1,Water Well Decommission,2021D007
UNCLASSIFIED,XHHW Conductor - #10 AWG (Power),3,1,XHHW Conductor - #10 AWG (Power),2021D001
UNCLASSIFIED,XHHW Conductor - #12 AWG (Power),3,1,XHHW Conductor - #12 AWG (Power),2021D001
UNCLASSIFIED,XHHW Conductor - #3 AWG (Power),3,1,XHHW Conductor - #3 AWG (Power),2021D001
UNCLASSIFIED,XHHW Conductor - #6 AWG (Power),3,1,XHHW Conductor - #6 AWG (Power),2021D001
UNCLASSIFIED,XHHW Conductor - #8 AWG (Power),3,1,XHHW Conductor - #8 AWG (Power),2021D001
012200,B6 Electrical,2,1,B6 Electrical (Section 012200),2023D025
012200,B6 Replacement of Existing Lids and Hatches,2,1,B6 Replacement of Existing Lids and Hatches (Section 012200),2023D025
012200,B6 Temporary Airfield Lighting Circuit Connection,2,1,B6 Temporary Airfield Lighting Circuit Connection (Section 012200),2023D025
012200,B6 Valve Vault (SSVLT 1202) Concrete Repair,2,1,B6 Valve Vault (SSVLT 1202) Concrete Repair (Section 012200),2023D025
012200,B6 Valve Vault (SSVLT 1202) Mechanical Rehabilitation,2,1,B6 Valve Vault (SSVLT 1202) Mechanical Rehabilitation (Section 012200),2023D025
012200,B6 Wet Well (SSLS 950) Concrete Repair,2,1,B6 Wet Well (SSLS 950) Concrete Repair (Section 012200),2023D025
012200,B6 Wet Well (SSLS 950) Mechanical Rehabilitation,2,1,B6 Wet Well (SSLS 950) Mechanical Rehabilitation (Section 012200),2023D025
012200,D9 Electrical,2,1,D9 Electrical (Section 012200),2023D025
012200,D9 Replacement of Existing Lids and Hatches,2,1,D9 Replacement of Existing Lids and Hatches (Section 012200),2023D025
012200,D9 Valve Vault (STSVLT 863) Concrete Repair,2,1,D9 Valve Vault (STSVLT 863) Concrete Repair (Section 012200),2023D025
012200,D9 Valve Vault (STSVLT 863) Mechanical Rehabilitation,2,1,D9 Valve Vault (STSVLT 863) Mechanical Rehabilitation (Section 012200),2023D025
012200,D9 Wet Well (SSLS 953) Concrete Repair,2,1,D9 Wet Well (SSLS 953) Concrete Repair (Section 012200),2023D025
012200,D9 Wet Well (SSLS 953) Mechanical Rehabilitation,2,1,D9 Wet Well (SSLS 953) Mechanical Rehabilitation (Section 012200),2023D025
P-306,Lean Concrete Base Course,2,1,Lean Concrete Base Course (Item P-306),2023D025
P-403,Asphalt Mixture Surface Course,2,1,Asphalt Mixture Surface Course (Item P-403),2023D025
P-501,Concrete Pavement,2,1,Concrete Pavement (Item P-501),2023D025
