Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 20"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2018D027,Asphalt Pavement Removal - 20-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 22"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 3"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2022D027,Asphalt Pavement Removal - 3-5 Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,3,2015D142; 2017D013; 2018D029,Asphalt Pavement Removal - 3-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2018D027; 2018D029,Asphalt Pavement Removal - 4-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 5"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2018D029,Asphalt Pavement Removal - 5-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D025,Asphalt Pavement Removal - 6 Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2017D013; 2018D027,Asphalt Pavement Removal - 6-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 7.5"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2022D027,Asphalt Pavement Removal - 8 Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,2,2015D142; 2018D029,Asphalt Pavement Removal - 8-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2017D013,Asphalt Pavement Removal - 9-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2019D031,AsphaltPavementRemoval-2.5-InchDepth (ItemP-101)
510101 Asphalt Concrete Pavement Milling,1,2019D031,AsphaltPavementRemoval-4-InchDepth (ItemP-101)
510101 Asphalt Concrete Pavement Milling,1,2019D031,AsphaltPavementRemoval-6-8-InchDepth (ItemP-101)
