item_id,project_id,line_no,specification,alternate_specification,pay_item_description,supplemental_description,item_description_raw,item,quantity,unit_norm,item_group,item_subgroup,grouping_rule_id
344,7,0056,312300,,Connection to Existing Storm Drainage System,,Connection to Existing Storm Drainage System (Section 312300),312300 - Connection to Existing Storm Drainage System,18.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
345,7,0057,312300,,Existing Manhole Adjustment to Grade,,Existing Manhole Adjustment to Grade (Section 312300),312300 - Existing Manhole Adjustment to Grade,3.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
346,7,0058,312300,,Existing Electrical Vault (H-20 Rated) Extension to Finish Grade,,Existing Electrical Vault (H-20 Rated) Extension to Finish Grade (Section 312300),312300 - Existing Electrical Vault (H-20 Rated) Extension to Finish Grade,2.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
347,7,0059,312300,,Sanitary Sewer Wet Well Removal,,Sanitary Sewer Wet Well Removal (Section 312300),312300 - Sanitary Sewer Wet Well Removal,1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
348,7,0060,L-108,,"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit",,"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit (Item L-108)","L-108 - No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit",14265.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
349,7,0061,L-108,,"No. 6 AWG, Solid, Bare Counterpoise Wire",,"No. 6 AWG, Solid, Bare Counterpoise Wire (Item L-108)","L-108 - No. 6 AWG, Solid, Bare Counterpoise Wire",4000.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
350,7,0062,L-108,,Counterpoise Ground Rod,10-Foot Long,"Counterpoise Ground Rod, 10-Foot Long (Item L-108)",L-108 - Counterpoise Ground Rod,13.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
351,7,0063,L-110,,PVC,2-Inch,2-Inch PVC (Item L-110),L-110 - PVC,3680.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
352,7,0064,L-110,,GRSC,2-Inch,2-Inch GRSC (Item L-110),L-110 - GRSC,45.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
353,7,0065,L-110,,1 1/2-Inch GRSC,,1 1/2-Inch GRSC (Item L-110),L-110 - 1 1/2-Inch GRSC,80.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
354,7,0066,260500,,General Electrical Removal,,General Electrical Removal (Section 260500),260500 - General Electrical Removal,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
355,7,0067,260500,,Temporary Circuit Connection,,Temporary Circuit Connection (Section 260500),260500 - Temporary Circuit Connection,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
356,7,0068,344300,,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)","344300 - Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",43.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
357,7,0069,344300,,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC",,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC (Section 344300)","344300 - Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC",6.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
358,7,0070,344300,,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)","344300 - Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",13.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
359,7,0071,344300,,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)","344300 - Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC",3.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
360,7,0072,344300,,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer,,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer (Section 344300),344300 - Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer,28.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
361,7,0073,344300,,Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC,,Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC (Section 344300),344300 - Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC,1.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
362,7,0074,344300,,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC",,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC (Section 344300)","344300 - Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC",45.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
363,7,0075,344302,,Sign V-2,,Sign V-2 (Section 344302),344302 - Sign V-2,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
364,7,0076,344302,,Sign V-4,,Sign V-4 (Section 344302),344302 - Sign V-4,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
365,7,0077,344302,,Sign V-6,,Sign V-6 (Section 344302),344302 - Sign V-6,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
366,7,0078,344302,,Sign A4-6,,Sign A4-6 (Section 344302),344302 - Sign A4-6,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
367,7,0079,344302,,Sign A4-7,,Sign A4-7 (Section 344302),344302 - Sign A4-7,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
368,7,0080,344302,,Sign A4-9,,Sign A4-9 (Section 344302),344302 - Sign A4-9,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
369,7,0081,344302,,Sign A5-3,,Sign A5-3 (Section 344302),344302 - Sign A5-3,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
370,7,0082,344302,,Sign A5-4,,Sign A5-4 (Section 344302),344302 - Sign A5-4,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
371,7,0083,344302,,Sign V-5,,Sign V-5 (Section 344302),344302 - Sign V-5,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
372,7,0084,344302,,Sign A4-13,,Sign A4-13 (Section 344302),344302 - Sign A4-13,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
373,8,0001,012200,,"Mobilization, Surveying, Cleanup, and Demobilization",,"Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)","012200 - Mobilization, Surveying, Cleanup, and Demobilization",1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
374,8,0002,012200,,Sweeper,,Sweeper (Section 012200),012200 - Sweeper,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
375,8,0003,012200,,Security Control Monitoring,,Security Control Monitoring (Section 012200),012200 - Security Control Monitoring,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
376,8,0004,012200,,Work Zone and Traffic Control,,Work Zone and Traffic Control (Section 012200),012200 - Work Zone and Traffic Control,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
377,8,0005,012200,,Escort,,Escort (Section 012200),012200 - Escort,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
378,8,0006,260500,,General Electrical Removal,,General Electrical Removal (Section 260500),260500 - General Electrical Removal,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
379,8,0007,260500,,Temporary Circuit Connection,,Temporary Circuit Connection (Section 260500),260500 - Temporary Circuit Connection,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
380,8,0008,260526,,Ground Rod for Counterpoise,,Ground Rod for Counterpoise (Section 260526),260526 - Ground Rod for Counterpoise,2.0,EACH,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
381,8,0009,260553,,Diameter Brass Marker,3-Inch,3-Inch Diameter Brass Marker (Section 260553),260553 - Diameter Brass Marker,1.0,EACH,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
382,8,0010,344300,,Install PF Elevated Runway End Light with CF Transformer on Existing Light Base,,Install PF Elevated Runway End Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Elevated Runway End Light with CF Transformer on Existing Light Base,16.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
383,8,0011,344300,,Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base,,Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base,79.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
384,8,0012,344300,,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base,,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base,17.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
385,8,0013,344300,,Install PF Runway Centerline Light with CF Transformer on Existing Light Base,,Install PF Runway Centerline Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Runway Centerline Light with CF Transformer on Existing Light Base,195.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
386,8,0014,344300,,Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base,,Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base,16.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
387,8,0015,344300,,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base,,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base,143.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
388,8,0016,344300,,Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,,Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,14.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
389,8,0017,344300,,Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,,Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,93.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
390,8,0018,344300,,Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base,,Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base,39.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
391,8,0019,344300,,Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base,,Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base,40.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
392,8,0020,344300,,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base,,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base,34.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
393,8,0021,344300,,Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base,,Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base (Section 344300),344300 - Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base,108.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
394,8,0022,344300,,Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base,,Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base,258.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
395,8,0023,344300,,Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base,,Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base (Section 344300),344300 - Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base,599.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
396,8,0024,344300,,Install PF Taxiway Centerline Light on Existing Light Base,,Install PF Taxiway Centerline Light on Existing Light Base (Section 344300),344300 - Install PF Taxiway Centerline Light on Existing Light Base,80.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
397,8,0025,344300,,Install PF Dual Stop Bar Light on Existing Light Base,,Install PF Dual Stop Bar Light on Existing Light Base (Section 344300),344300 - Install PF Dual Stop Bar Light on Existing Light Base,91.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
398,8,0026,344300,,Install PF In-Pavement Runway Guard Light on Existing Light Base,,Install PF In-Pavement Runway Guard Light on Existing Light Base (Section 344300),344300 - Install PF In-Pavement Runway Guard Light on Existing Light Base,14.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
399,8,0027,344300,,Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,,Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),344300 - Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base,10.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
400,8,0028,344300,,Install CF 150-Watt,6.6/6.6 Amp Isolation Transformer in Existing Base Can,"Install CF 150-Watt, 6.6/6.6 Amp Isolation Transformer in Existing Base Can (Section 344300)",344300 - Install CF 150-Watt,91.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
401,8,0029,344300,,Install PF Microwave Sensor with CF Transformer in Existing Base Can,,Install PF Microwave Sensor with CF Transformer in Existing Base Can (Section 344300),344300 - Install PF Microwave Sensor with CF Transformer in Existing Base Can,14.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
402,8,0030,344300,,Install PF Cover Plate on Existing Base Can,,Install PF Cover Plate on Existing Base Can (Section 344300),344300 - Install PF Cover Plate on Existing Base Can,1.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
403,8,0031,L-108,,"#6 AWG, 5kV Cable",,"#6 AWG, 5kV Cable (Item L-108)","L-108 - #6 AWG, 5kV Cable",55000.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
404,8,0032,L-110,,PVC Direct Buried in Grass,2-inch,2-inch PVC Direct Buried in Grass (Item L-110),L-110 - PVC Direct Buried in Grass,150.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
405,8,0033,L-110,,PVC in Existing ACP Shoulder,2-inch,2-inch PVC in Existing ACP Shoulder (Item L-110),L-110 - PVC in Existing ACP Shoulder,10.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
406,9,0001,UNCLASSIFIED,,"Mobilization, Surveying, Cleanup, and Demobilization",,"Mobilization, Surveying, Cleanup, and Demobilization","UNCLASSIFIED - Mobilization, Surveying, Cleanup, and Demobilization",1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
407,9,0002,UNCLASSIFIED,,"Temporary Erosion, Sediment, and Pollution Control",,"Temporary Erosion, Sediment, and Pollution Control","UNCLASSIFIED - Temporary Erosion, Sediment, and Pollution Control",1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
408,9,0003,UNCLASSIFIED,,Temporary Traffic Control,,Temporary Traffic Control,UNCLASSIFIED - Temporary Traffic Control,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
409,9,0004,UNCLASSIFIED,,Site Demolition,,Site Demolition,UNCLASSIFIED - Site Demolition,1.0,LS,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,kw_demo_remediation
410,9,0005,UNCLASSIFIED,,Contaminated Soil Excavation and Placement,,Contaminated Soil Excavation and Placement,UNCLASSIFIED - Contaminated Soil Excavation and Placement,26.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
411,9,0006,UNCLASSIFIED,,"Fill Material, Topsoil",,"Fill Material, Topsoil","UNCLASSIFIED - Fill Material, Topsoil",105.0,CY,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
412,9,0007,UNCLASSIFIED,,Compacted Bedding Material,,Compacted Bedding Material,UNCLASSIFIED - Compacted Bedding Material,181.0,CY,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
413,9,0008,UNCLASSIFIED,,Water Pipe,2-Inch,2-Inch Water Pipe,UNCLASSIFIED - Water Pipe,111.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
414,9,0009,UNCLASSIFIED,,Water Pipe,4-Inch,4-Inch Water Pipe,UNCLASSIFIED - Water Pipe,1277.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
415,9,0010,UNCLASSIFIED,,Water Pipe,6-Inch,6-Inch Water Pipe,UNCLASSIFIED - Water Pipe,6077.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
416,9,0011,UNCLASSIFIED,,Gate Valve,2-Inch,2-Inch Gate Valve,UNCLASSIFIED - Gate Valve,1.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
417,9,0012,UNCLASSIFIED,,Gate Valve,4-Inch,4-Inch Gate Valve,UNCLASSIFIED - Gate Valve,2.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
418,9,0013,UNCLASSIFIED,,Gate Valve,6-Inch,6-Inch Gate Valve,UNCLASSIFIED - Gate Valve,5.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
419,9,0014,UNCLASSIFIED,,Remove and Reinstall Catch Basin,,Remove and Reinstall Catch Basin,UNCLASSIFIED - Remove and Reinstall Catch Basin,1.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
420,9,0015,UNCLASSIFIED,,Aggregate Base Course,,Aggregate Base Course,UNCLASSIFIED - Aggregate Base Course,608.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
421,9,0016,UNCLASSIFIED,,Pavement Markings,,Pavement Markings,UNCLASSIFIED - Pavement Markings,1.0,LS,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
422,9,0017,UNCLASSIFIED,,Remove and Reinstall Chain Link Fence,,Remove and Reinstall Chain Link Fence,UNCLASSIFIED - Remove and Reinstall Chain Link Fence,81.0,LF,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,kw_demo_remediation
423,9,0018,UNCLASSIFIED,,Area Seeding,,Area Seeding,UNCLASSIFIED - Area Seeding,6.0,ACRE,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
424,9,0019,UNCLASSIFIED,,Asphalt Concrerte Surface Course,,Asphalt Concrerte Surface Course,UNCLASSIFIED - Asphalt Concrerte Surface Course,45.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
425,10,0001,012200,,Sweeper,,Sweeper (Section 012200),012200 - Sweeper,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
426,10,0002,012200,,Security Control Monitoring,,Security Control Monitoring (Section 012200),012200 - Security Control Monitoring,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
427,10,0003,012200,,Traffic Control,,Traffic Control (Section 012200),012200 - Traffic Control,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
428,10,0004,012200,,Escort,,Escort (Section 012200),012200 - Escort,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
429,10,0005,015713,,Inlet Protection,,Inlet Protection (Section 015713),015713 - Inlet Protection,6.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
430,10,0005,015713,,Jet Blast Control Material,,Jet Blast Control Material (Section 015713),015713 - Jet Blast Control Material,3.0,ACRE,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
431,10,0006,015713,,Inlet Protection,,Inlet Protection (Section 015713),015713 - Inlet Protection,60.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
432,10,0006,C-105,,Mobilization,,Mobilization (Item C-105),C-105 - Mobilization,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
433,10,0007,015713,,Ditch Protection/Check Dams,,Ditch Protection/Check Dams (Section 015713),015713 - Ditch Protection/Check Dams,4.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
434,10,0007,P-101,,PCC Pavement Removal,15-Inch Depth,PCC Pavement Removal - 15-Inch Depth (Item P-101),P-101 - PCC Pavement Removal,450.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
435,10,0008,C-102,,Installation and Removal of Silt Fence,,Installation and Removal of Silt Fence (Item C-102),C-102 - Installation and Removal of Silt Fence,4650.0,LF,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
436,10,0008,P-101,,PCC Pavement Removal,18-Inch Depth,PCC Pavement Removal - 18-Inch Depth (Item P-101),P-101 - PCC Pavement Removal,150.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
437,10,0009,C-105,,Mobilization,,Mobilization (Item C-105),C-105 - Mobilization,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
438,10,0009,P-101,,Asphalt Pavement Removal,11-Inch Depth,Asphalt Pavement Removal - 11-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,5900.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
439,10,0010,P-101,,Asphalt Pavement Removal,20-Inch Depth,Asphalt Pavement Removal - 20-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,3600.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
440,10,0010,P-101,,Asphalt Pavement Removal,4-Inch Depth,Asphalt Pavement Removal - 4-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,2700.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
441,10,0011,P-101,,Asphalt Pavement Removal,6-Inch Depth,Asphalt Pavement Removal - 6-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,625.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
442,10,0011,P-101,,Cold Milling,3-Inch Depth,Cold Milling - 3-Inch Depth (Item P-101),P-101 - Cold Milling,150.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
443,10,0012,P-101,,Asphalt Pavement Removal,13.5-Inch Depth,Asphalt Pavement Removal - 13.5-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,1000.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
444,10,0012,P-101,,Removal of Pipe and Other Buried Structures,,Removal of Pipe and Other Buried Structures (Item P-101),P-101 - Removal of Pipe and Other Buried Structures,1.0,LS,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
445,10,0013,P-101,,PCC Pavement Removal,6-Inch Depth,PCC Pavement Removal - 6-Inch Depth (Item P-101),P-101 - PCC Pavement Removal,25.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
446,10,0013,P-152,,Unclassified Excavation,,Unclassified Excavation (Item P-152),P-152 - Unclassified Excavation,13025.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
447,10,0014,P-101,,Cold Milling,3-Inch Depth,Cold Milling - 3-Inch Depth (Item P-101),P-101 - Cold Milling,3400.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
448,10,0014,P-152,,Unsuitable Excavation,,Unsuitable Excavation (Item P-152),P-152 - Unsuitable Excavation,850.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
449,10,0015,P-101,,Cold Milling,4-Inch Depth,Cold Milling - 4-Inch Depth (Item P-101),P-101 - Cold Milling,22300.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
450,10,0015,P-153,,Controlled Low - Strength Material,,Controlled Low-Strength Material (Item P-153),P-153 - Controlled Low - Strength Material,1100.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
451,10,0016,P-101,,Cold Milling,12-Inch Depth,Cold Milling - 12-Inch Depth (Item P-101),P-101 - Cold Milling,2400.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
452,10,0016,P-154,,Subbase Course,,Subbase Course (Item P-154),P-154 - Subbase Course,9100.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
453,10,0017,P-101,,Removal of Pipe and Other Buried Structures,,Removal of Pipe and Other Buried Structures (Item P-101),P-101 - Removal of Pipe and Other Buried Structures,1.0,LS,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
