project_id,bid_schedule_id,bidder_id,schedule_total,total_row_label
108683441724331,272886080069589,167247403588119,841079.71,Total Amount Additive Alternate 3
108683441724331,272886080069589,215019814996123,411573.0,Total Amount Additive Alternate 3
108683441724331,272886080069589,274266078181820,966358.25,Total Amount Additive Alternate 3
108683441724331,80761648675628,167247403588119,518802.9900000001,Total Amount Additive Alternate 4
108683441724331,80761648675628,215019814996123,382289.0,Total Amount Additive Alternate 4
108683441724331,80761648675628,274266078181820,780307.55,Total Amount Additive Alternate 4
38507834040098,147379597269048,218498073378273,9624346.25,Total Amount Base Bid (Basis of Award)
38507834040098,147379597269048,252560231292266,10277995.679999998,Total Amount Base Bid (Basis of Award)
38507834040098,147379597269048,11378265606723,9569824.55,Total Amount Base Bid (Basis of Award)
38507834040098,147379597269048,17256245838915,9285859.15,Total Amount Base Bid (Basis of Award)
38507834040098,147379597269048,280739963836319,8991000.0,Total Amount Base Bid (Basis of Award)
38507834040098,147379597269048,274266078181820,11210044.25,Total Amount Base Bid (Basis of Award)
38507834040098,166573728922330,218498073378273,402928.0,Total Amount Additive Alternate A
38507834040098,166573728922330,252560231292266,417263.04,Total Amount Additive Alternate A
38507834040098,166573728922330,11378265606723,445607.5,Total Amount Additive Alternate A
38507834040098,166573728922330,17256245838915,364091.75,Total Amount Additive Alternate A
38507834040098,166573728922330,280739963836319,428765.0,Total Amount Additive Alternate A
38507834040098,166573728922330,274266078181820,483561.5,Total Amount Additive Alternate A
38507834040098,166573728922330,218498073378273,10027274.25,Total Amount Base Bid and Additive Alternate A
38507834040098,166573728922330,252560231292266,10695258.719999995,Total Amount Base Bid and Additive Alternate A
38507834040098,166573728922330,11378265606723,10015432.05,Total Amount Base Bid and Additive Alternate A
38507834040098,166573728922330,17256245838915,9649950.9,Total Amount Base Bid and Additive Alternate A
38507834040098,166573728922330,280739963836319,9419765.0,Total Amount Base Bid and Additive Alternate A
38507834040098,166573728922330,274266078181820,11693605.75,Total Amount Base Bid and Additive Alternate A
19029008185844,166635879490495,11378265606723,7448777.0,Total Amount Base Bid (Basis of Award)
19029008185844,166635879490495,17256245838915,6129171.0,Total Amount Base Bid (Basis of Award)
19029008185844,166635879490495,37638004524146,6588047.0,Total Amount Base Bid (Basis of Award)
19029008185844,166635879490495,280739963836319,6624793.0,Total Amount Base Bid (Basis of Award)
19029008185844,166635879490495,232625519619415,6537599.0,Total Amount Base Bid (Basis of Award)
19029008185844,166635879490495,274266078181820,7614265.5,Total Amount Base Bid (Basis of Award)
19029008185844,14098161650687,11378265606723,218040.4,Total Amount Additive Alternate A
19029008185844,14098161650687,17256245838915,168668.55,Total Amount Additive Alternate A
19029008185844,14098161650687,37638004524146,211109.0,Total Amount Additive Alternate A
19029008185844,14098161650687,280739963836319,332136.25,Total Amount Additive Alternate A
19029008185844,14098161650687,232625519619415,237385.25,Total Amount Additive Alternate A
19029008185844,14098161650687,274266078181820,268712.5,Total Amount Additive Alternate A
19029008185844,14098161650687,11378265606723,7666817.4,Total Amount Base Bid and Additive Alternate A
19029008185844,14098161650687,17256245838915,6297839.55,Total Amount Base Bid and Additive Alternate A
19029008185844,14098161650687,37638004524146,6799156.0,Total Amount Base Bid and Additive Alternate A
19029008185844,14098161650687,280739963836319,6956929.25,Total Amount Base Bid and Additive Alternate A
19029008185844,14098161650687,232625519619415,6774984.25,Total Amount Base Bid and Additive Alternate A
19029008185844,14098161650687,274266078181820,7882978.0,Total Amount Base Bid and Additive Alternate A
203439116038536,271038365565898,170071940635055,883359.0,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,8155394461330,1036363.0,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,17256245838915,924030.0,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,222339858453412,837843.5,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,37638004524146,790790.0,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,264362577598158,997000.0,Total Amount Bid (Basis of Award)
203439116038536,271038365565898,274266078181820,1061560.0,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,71335327893695,4249540.754999999,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,218498073378273,3725047.1,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,24831832120987,4508106.5,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,147619682317042,4186136.0,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,11378265606723,3389211.5,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,17256245838915,4894385.3,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,38665686734061,4444240.2,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,46191032870351,4826299.0,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,271255515053079,3317066.0,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,57820503909123,2940525.0,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,280739963836319,3079845.8,Total Amount Bid (Basis of Award)
119086843025311,75075567856937,274266078181820,3750841.7,Total Amount Bid (Basis of Award)
136362472391999,224173676384399,187900935193576,1347131.5,Total Amount Bid (Basis of Award)
136362472391999,224173676384399,16728911718217,681107.1,Total Amount Bid (Basis of Award)
136362472391999,224173676384399,91698353496743,945062.7,Total Amount Bid (Basis of Award)
136362472391999,224173676384399,143227019900586,697331.7999999999,Total Amount Bid (Basis of Award)
136362472391999,224173676384399,274266078181820,991760.0,Total Amount Bid (Basis of Award)
116522259111558,64878630351321,161673056860344,5839225.0,Total Amount Bid (Basis of Award)
116522259111558,64878630351321,257602055531824,5633570.0,Total Amount Bid (Basis of Award)
116522259111558,64878630351321,274266078181820,3787247.2,Total Amount Bid (Basis of Award)
74617395428025,274986430419016,16728911718217,624650.51,Total Amount Bid (Basis of Award)
74617395428025,274986430419016,252560231292266,873222.22,Total Amount Bid (Basis of Award)
74617395428025,274986430419016,274266078181820,740698.0,Total Amount Bid (Basis of Award)
18863568529250,204712733072502,11378265606723,5344757.8,Total Amount Bid Schedule A
18863568529250,204712733072502,17256245838915,4584205.0,Total Amount Bid Schedule A
18863568529250,204712733072502,37638004524146,5787969.0,Total Amount Bid Schedule A
18863568529250,204712733072502,57820503909123,5063878.220000001,Total Amount Bid Schedule A
18863568529250,204712733072502,280739963836319,4473275.5,Total Amount Bid Schedule A
18863568529250,204712733072502,274266078181820,4560860.5,Total Amount Bid Schedule A
18863568529250,188737062829067,11378265606723,4832397.5,Total Amount Bid Schedule B
18863568529250,188737062829067,17256245838915,4509067.7,Total Amount Bid Schedule B
18863568529250,188737062829067,37638004524146,4770589.0,Total Amount Bid Schedule B
18863568529250,188737062829067,57820503909123,4533024.0,Total Amount Bid Schedule B
18863568529250,188737062829067,280739963836319,4115162.5,Total Amount Bid Schedule B
18863568529250,188737062829067,274266078181820,3795745.75,Total Amount Bid Schedule B
18863568529250,188737062829067,11378265606723,10177155.3,Total Amount Bid Schedules A and B (Basis of Award)
18863568529250,188737062829067,17256245838915,9093272.7,Total Amount Bid Schedules A and B (Basis of Award)
18863568529250,188737062829067,37638004524146,10558558.0,Total Amount Bid Schedules A and B (Basis of Award)
18863568529250,188737062829067,57820503909123,9596902.22,Total Amount Bid Schedules A and B (Basis of Award)
18863568529250,188737062829067,280739963836319,8588438.0,Total Amount Bid Schedules A and B (Basis of Award)
18863568529250,188737062829067,274266078181820,8356606.25,Total Amount Bid Schedules A and B (Basis of Award)
