pay_item_id,item_code_raw,item_code_norm,section_code_raw,section_code_norm,item_desc_canonical
29076926446432,,,334100,334100,12-Inch Ductile Iron (Force Main) Pipe (Section 334100)
29645199998463,,,331116,331116,8-Inch Fire Water Line (Section 331116)
30553559313351,,,,,48-Inch STS (Sections 012200 and 334100)
30712108866890,,,,,"Demarcation Panel with Receptacles, Heater, and T-Stat"
30760684784313,,,,,"Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets"
31000081459043,P-101,P-101,,,Asphalt Pavement Removal (Item P-101)
31014651573842,P-101,P-101,,,Cold Milling - 12-Inch Depth (Item P-101)
31525031811134,,,,,Septic Tank and Drain Field Removal
32395671364134,,,,,Pile Crack Repair
32772660787212,D-701,D-701,,,30-Inch STS (Item D-701)
32922512890701,,,,,InletProtection (Section015713)
33030867104742,,,,,ColdMilling-0.5InchDepth (ItemP-101)
34006283299722,,,,,"Utility Removal, Relocation, and Backfill"
34163851576522,,,,,Construction Survey (Item GP-50)
34994191277693,,,344300,344300,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer (Section 344300)
35197173115610,,,012200,012200,Erosion and Sediment Control (Section 012200)
35899812361738,,,344302,344302,Sign V-5 (Section 344302)
36057843290217,P-620,P-620,,,Surface Preparation - Remove Existing Marking (Item P-620)
36674736508697,,,,,Joint Repair
36965298373920,,,,,SurfacePreparation-RemoveExistingMarkings (ItemP-620)
37167806306144,,,,,AsphaltPavementRemoval-4-InchDepth (ItemP-101)
37344079534926,P-101,P-101,,,"Asphalt Pavement Removal - 20"" Depth (Item P-101)"
37519046620513,,,,,16-Inch Reduced Pressure Detector Assembly and Enclosure
38424214080824,,,012200,012200,Work Zone Traffic Control (Section 012200)
39136431570526,,,,,Unsuitable Excavation and Disposal (Sections 012200 and 312300)
39158111116489,,,,,2-Inch Water Meter
39543271659944,,,344300,344300,Install Elevated Red Stop Bar Light on Existing Base Can with PF Transformer (Section 344300)
39601508058711,,,,,Sweeper
39860824781909,,,,,Barge and Access Equipment
40473809937355,,,344300,344300,Install In-Pavement Runway Guard Light on Existing Base Can with CF Transformer (Section 344300)
40951825713365,,,,,ReflectiveMedia (ItemP-620)
41260408641786,D-751,D-751,,,"84-Inch Manhole, Type A (Item D-751)"
41537936873930,,,344302,344302,Sign A4-6 (Section 344302)
42013003297658,,,,,RiprapOutfall (Section354000)
42260295771560,,,344300,344300,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC (Section 344300)"
42349278833926,,,015713,015713,Inlet Protection (Section 015713)
42742117014708,,,,,GeneralElectricalRemoval (Section260500)
42905580925146,P-620,P-620,,,Markings (Item P-620)
43181337096332,,,,,Valley Gutter
43804158348235,,,,,Geotextile Fabric
44295426995838,,,,,AsphaltSurfaceCourse (ItemP-401)
44546045849038,P-501,P-501,,,11-Inch Thick Concrete Pavement (Item P-501)
45072890654187,P-620,P-620,,,Temporary Pavement Marking (Item P-620)
45337314597590,,,344302,344302,Sign A6-7 (Section 344302)
46359910038984,,,,,Deck Surface Repair
46571742913689,D-701,D-701,,,36-Inch STS (Item D-701)
46954606307003,D-701,D-701,,,8-Inch STS Pipe (Item D-701)
